"","Importer","Year","Category","Country","region","subregion","vol","SYear","Category1"
"699","HK","19","1","Hong Kong","Asia","Eastern Asia",152,1.48531775427645,"Yes"
"700","HU","19","1","Hungary","Europe","Eastern Europe",145,1.48531775427645,"Yes"
"701","ID","19","1","Indonesia","Asia","South-eastern Asia",0,1.48531775427645,"Yes"
"702","IE","19","1","Ireland","Europe","Northern Europe",0,1.48531775427645,"Yes"
"703","IT","19","1","Italy","Europe","Southern Europe",0,1.48531775427645,"Yes"
"704","JO","19","2","Jordan","Asia","Western Asia",0,1.48531775427645,"No"
"705","JP","19","1","Japan","Asia","Eastern Asia",2083,1.48531775427645,"Yes"
"706","KP","19","NP","Korea (Democratic People's Republic of)","Asia","Eastern Asia",0,1.48531775427645,"No"
"707","KR","19","1","Korea, Republic of","Asia","Eastern Asia",88,1.48531775427645,"Yes"
"708","MA","19","1","Morocco","Africa","Northern Africa",0,1.48531775427645,"Yes"
"709","MX","19","1","Mexico","Americas","Latin America and the Caribbean",0,1.48531775427645,"Yes"
"710","NL","19","1","Netherlands","Europe","Western Europe",442,1.48531775427645,"Yes"
"711","PT","19","1","Portugal","Europe","Southern Europe",0,1.48531775427645,"Yes"
"712","RS","19","1","Serbia","Europe","Southern Europe",0,1.48531775427645,"Yes"
"713","RU","19","1","Russian Federation","Europe","Eastern Europe",0,1.48531775427645,"Yes"
"714","SK","19","1","Slovakia","Europe","Eastern Europe",0,1.48531775427645,"Yes"
"715","SV","19","1","El Salvador","Americas","Latin America and the Caribbean",0,1.48531775427645,"Yes"
"716","TH","19","1","Thailand","Asia","South-eastern Asia",0,1.48531775427645,"Yes"
"717","TW","19","NP","Taiwan, Province of China","Asia","Eastern Asia",0,1.48531775427645,"No"
"718","UA","19","1","Ukraine","Europe","Eastern Europe",0,1.48531775427645,"Yes"
"719","US","19","1","United States of America","Americas","Northern America",4768,1.48531775427645,"Yes"
"720","ZA","19","1","South Africa","Africa","Sub-Saharan Africa",18,1.48531775427645,"Yes"
"721","BD","20","2","Bangladesh","Asia","Southern Asia",0,1.65035306030716,"No"
"722","BE","20","1","Belgium","Europe","Western Europe",0,1.65035306030716,"Yes"
"723","CA","20","1","Canada","Americas","Northern America",184,1.65035306030716,"Yes"
"724","CH","20","1","Switzerland","Europe","Western Europe",0,1.65035306030716,"Yes"
"725","CL","20","1","Chile","Americas","Latin America and the Caribbean",0,1.65035306030716,"Yes"
"726","CN","20","1","China","Asia","Eastern Asia",0,1.65035306030716,"Yes"
"727","CO","20","1","Colombia","Americas","Latin America and the Caribbean",0,1.65035306030716,"Yes"
"728","CR","20","1","Costa Rica","Americas","Latin America and the Caribbean",0,1.65035306030716,"Yes"
"729","CZ","20","1","Czechia","Europe","Eastern Europe",97,1.65035306030716,"Yes"
"730","DE","20","1","Germany","Europe","Western Europe",0,1.65035306030716,"Yes"
"731","DK","20","1","Denmark","Europe","Northern Europe",0,1.65035306030716,"Yes"
"732","ES","20","1","Spain","Europe","Southern Europe",397,1.65035306030716,"Yes"
"733","FR","20","1","France","Europe","Western Europe",0,1.65035306030716,"Yes"
"734","GB","20","1","United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",20,1.65035306030716,"Yes"
"735","HK","20","1","Hong Kong","Asia","Eastern Asia",5,1.65035306030716,"Yes"
"736","HU","20","1","Hungary","Europe","Eastern Europe",110,1.65035306030716,"Yes"
"737","ID","20","1","Indonesia","Asia","South-eastern Asia",0,1.65035306030716,"Yes"
"738","IE","20","1","Ireland","Europe","Northern Europe",0,1.65035306030716,"Yes"
"739","IT","20","1","Italy","Europe","Southern Europe",0,1.65035306030716,"Yes"
"740","JO","20","2","Jordan","Asia","Western Asia",10,1.65035306030716,"No"
"741","JP","20","1","Japan","Asia","Eastern Asia",230,1.65035306030716,"Yes"
"742","KP","20","NP","Korea (Democratic People's Republic of)","Asia","Eastern Asia",0,1.65035306030716,"No"
"743","KR","20","1","Korea, Republic of","Asia","Eastern Asia",0,1.65035306030716,"Yes"
"744","MA","20","1","Morocco","Africa","Northern Africa",0,1.65035306030716,"Yes"
"745","MX","20","1","Mexico","Americas","Latin America and the Caribbean",0,1.65035306030716,"Yes"
"746","NL","20","1","Netherlands","Europe","Western Europe",0,1.65035306030716,"Yes"
"747","PT","20","1","Portugal","Europe","Southern Europe",0,1.65035306030716,"Yes"
"748","RS","20","1","Serbia","Europe","Southern Europe",0,1.65035306030716,"Yes"
"749","RU","20","1","Russian Federation","Europe","Eastern Europe",125,1.65035306030716,"Yes"
"750","SK","20","1","Slovakia","Europe","Eastern Europe",0,1.65035306030716,"Yes"
"751","SV","20","1","El Salvador","Americas","Latin America and the Caribbean",0,1.65035306030716,"Yes"
"752","TH","20","1","Thailand","Asia","South-eastern Asia",0,1.65035306030716,"Yes"
"753","TW","20","NP","Taiwan, Province of China","Asia","Eastern Asia",0,1.65035306030716,"No"
"754","UA","20","1","Ukraine","Europe","Eastern Europe",0,1.65035306030716,"Yes"
"755","US","20","1","United States of America","Americas","Northern America",327,1.65035306030716,"Yes"
"756","ZA","20","1","South Africa","Africa","Sub-Saharan Africa",0,1.65035306030716,"Yes"
